Year,Season,City,Sport,Discipline,Event,Country,Gender,Medal
1976,Summer,Montreal,Athletics,Athletics,100m,GDR,Women,Gold
1976,Summer,Montreal,Athletics,Athletics,100m,GDR,Women,Silver
1976,Summer,Montreal,Athletics,Athletics,100m,GER,Women,Bronze
1980,Summer,Moscow,Athletics,Athletics,100m,GDR,Women,Gold
1980,Summer,Moscow,Athletics,Athletics,100m,URS,Women,Silver
1980,Summer,Moscow,Athletics,Athletics,100m,GBR,Women,Bronze
1984,Summer,Los Angeles,Athletics,Athletics,100m,USA,Women,Gold
1984,Summer,Los Angeles,Athletics,Athletics,100m,USA,Women,Silver
1984,Summer,Los Angeles,Athletics,Athletics,100m,GBR,Women,Bronze
1988,Summer,Seoul,Athletics,Athletics,100m,USA,Women,Gold
1988,Summer,Seoul,Athletics,Athletics,100m,GDR,Women,Silver
1988,Summer,Seoul,Athletics,Athletics,100m,URS,Women,Bronze
1992,Summer,Barcelona,Athletics,Athletics,100m,USA,Women,Gold
1992,Summer,Barcelona,Athletics,Athletics,100m,JAM,Women,Silver
1992,Summer,Barcelona,Athletics,Athletics,100m,URS,Women,Bronze
1996,Summer,Atlanta,Athletics,Athletics,100m,USA,Women,Gold
1996,Summer,Atlanta,Athletics,Athletics,100m,JAM,Women,Silver
1996,Summer,Atlanta,Athletics,Athletics,100m,USA,Women,Bronze
2000,Summer,Sydney,Athletics,Athletics,100m,USA,Women,Gold
2000,Summer,Sydney,Athletics,Athletics,100m,GRE,Women,Silver
2000,Summer,Sydney,Athletics,Athletics,100m,BAH,Women,Bronze
2004,Summer,Athens,Athletics,Athletics,100m,BLR,Women,Gold
2004,Summer,Athens,Athletics,Athletics,100m,JAM,Women,Silver
2004,Summer,Athens,Athletics,Athletics,100m,USA,Women,Bronze
2008,Summer,Beijing,Athletics,Athletics,100m,JAM,Women,Gold
2008,Summer,Beijing,Athletics,Athletics,100m,JAM,Women,Silver
2008,Summer,Beijing,Athletics,Athletics,100m,USA,Women,Bronze
2012,Summer,London,Athletics,Athletics,100m,JAM,Women,Gold
2012,Summer,London,Athletics,Athletics,100m,JAM,Women,Silver
2012,Summer,London,Athletics,Athletics,100m,USA,Women,Bronze
2016,Summer,Rio de Janeiro,Athletics,Athletics,100m,JAM,Women,Gold
2016,Summer,Rio de Janeiro,Athletics,Athletics,100m,CIV,Women,Silver
2016,Summer,Rio de Janeiro,Athletics,Athletics,100m,JAM,Women,Bronze
2020,Summer,Tokyo,Athletics,Athletics,100m,JAM,Women,Gold
2020,Summer,Tokyo,Athletics,Athletics,100m,JAM,Women,Silver
2020,Summer,Tokyo,Athletics,Athletics,100m,BLR,Women,Bronze
